timestamp,velocity,steering,pwm_green,pwm_red,gpio12_up,gpio13_down,gpio14_left,gpio15_right
1776341815.5652,64.0000,-0.1001,203,25,1,0,1,0
1776341815.8881,64.8000,-0.1138,206,29,1,0,1,0
1776341816.2510,65.6000,-0.1255,209,32,1,0,1,0
1776341816.5804,66.4000,-0.1347,211,34,1,0,1,0
1776341816.9003,67.2000,-0.1373,214,35,1,0,1,0
1776341817.2422,68.0000,-0.1350,216,34,1,0,1,0
1776341817.5650,66.0000,-0.0841,210,21,1,0,1,0
1776341817.8866,66.8000,-0.0826,212,21,1,0,1,0
1776341818.2277,67.6000,-0.0789,215,20,1,0,1,0
1776341818.5568,68.4000,-0.0742,218,18,1,0,1,0
1776341818.8800,69.2000,-0.0688,220,17,1,0,1,0
1776341819.2341,70.0000,-0.0634,223,16,1,0,1,0
1776341819.5909,70.8000,-0.0580,225,14,1,0,1,0
1776341820.0020,71.5360,-0.0525,228,13,1,0,1,0
1776341820.4705,72.2131,-0.0470,230,0,1,0,0,0
1776341820.8185,72.8361,-0.0418,232,0,1,0,0,0
1776341821.1494,73.4092,-0.0370,233,0,1,0,0,0
1776341821.5117,73.9364,-0.0329,235,0,1,0,0,0
1776341821.8453,74.4215,-0.0303,237,0,1,0,0,0
1776341822.1884,74.8678,-0.0305,238,0,1,0,0,0
1776341822.5513,75.2784,-0.0306,239,0,1,0,0,0
1776341822.8925,73.2784,-0.0326,233,0,1,0,0,0
1776341823.2339,73.8161,-0.0398,235,0,1,0,0,0
1776341823.5847,74.3108,-0.0477,236,0,1,0,0,0
1776341823.9185,74.7660,-0.0575,238,14,1,0,1,0
1776341824.2935,72.7660,-0.0230,231,0,1,0,0,0
1776341824.8257,73.3447,-0.0391,233,0,1,0,0,0
1776341825.1671,73.8771,-0.0550,235,14,1,0,1,0
1776341825.5343,74.3669,-0.0694,237,17,1,0,1,0
1776341825.8769,74.8176,-0.0838,238,21,1,0,1,0
1776341826.2421,75.2322,-0.0962,239,24,1,0,1,0
1776341826.5927,75.6136,-0.1083,241,27,1,0,1,0
1776341826.9392,75.9645,-0.1200,242,30,1,0,1,0
1776341827.3265,76.2874,-0.1303,243,33,1,0,1,0
1776341827.6727,76.5844,-0.1339,244,34,1,0,1,0
1776341827.9966,76.8576,-0.1334,244,34,1,0,1,0
1776341828.3449,77.1090,-0.1277,245,32,1,0,1,0
1776341828.9249,77.3403,-0.1182,246,30,1,0,1,0
1776341829.2998,77.5531,-0.1075,247,27,1,0,1,0
1776341829.6227,77.7488,-0.0968,247,24,1,0,1,0
1776341829.9442,77.9289,-0.0866,248,22,1,0,1,0
1776341830.3100,75.9289,-0.0318,242,0,1,0,0,0
1776341830.6673,73.9289,0.0157,235,0,1,0,0,0
1776341831.0202,71.9289,0.0564,229,14,1,0,0,1
1776341831.3901,72.5746,0.0464,231,0,1,0,0,0
1776341831.7441,70.5746,0.0832,224,21,1,0,0,1
1776341832.0707,68.5746,0.1149,218,29,1,0,0,1
1776341832.4339,69.3746,0.0970,221,24,1,0,0,1
1776341832.7686,67.3746,0.1271,214,32,1,0,0,1
1776341833.0984,68.1746,0.1077,217,27,1,0,0,1
1776341833.4755,66.1746,0.1362,210,34,1,0,0,1
1776341833.8170,64.1746,0.1606,204,40,1,0,0,1
1776341834.1524,64.9746,0.1363,207,34,1,0,0,1
1776341834.5041,62.9746,0.1606,200,40,1,0,0,1
1776341834.9225,63.7746,0.1364,203,34,1,0,0,1
1776341835.3160,64.5746,0.1158,205,29,1,0,0,1
1776341835.6600,65.3746,0.0983,208,25,1,0,0,1
1776341835.9819,66.1746,0.0834,210,21,1,0,0,1
1776341836.3337,64.1746,0.1157,204,29,1,0,0,1
1776341836.6789,62.1746,0.1432,198,36,1,0,0,1
1776341837.0095,60.1746,0.1666,191,42,1,0,0,1
1776341837.3877,58.1746,0.1865,185,47,1,0,0,1
1776341837.7642,58.9746,0.1584,187,40,1,0,0,1
1776341838.0957,59.7746,0.1344,190,34,1,0,0,1
1776341838.4401,57.7746,0.1591,184,40,1,0,0,1
1776341838.7843,58.5746,0.1351,186,34,1,0,0,1
1776341839.1144,59.3746,0.1147,189,29,1,0,0,1
1776341839.4851,60.1746,0.0973,191,24,1,0,0,1
1776341839.8325,58.1746,0.1276,185,32,1,0,0,1
1776341840.3167,58.9746,0.1083,187,27,1,0,0,1
1776341840.7590,59.7746,0.0919,190,23,1,0,0,1
1776341841.1681,60.5746,0.0780,193,19,1,0,0,1
1776341841.5617,61.3746,0.0662,195,16,1,0,0,1
1776341841.8971,62.1746,0.0561,198,14,1,0,0,1
1776341842.4548,62.9746,0.0475,200,0,1,0,0,0
1776341842.7942,63.7746,0.0403,203,0,1,0,0,0
1776341843.1240,64.5746,0.0341,205,0,1,0,0,0
1776341843.4649,65.3746,0.0288,208,0,1,0,0,0
1776341843.7850,66.1746,0.0244,210,0,1,0,0,0
1776341844.2290,66.9746,0.0206,213,0,1,0,0,0
1776341844.6185,67.7746,0.0173,216,0,1,0,0,0
1776341844.9525,68.5746,0.0146,218,0,1,0,0,0
1776341845.3027,69.3746,0.0123,221,0,1,0,0,0
1776341845.6243,70.1746,0.0103,223,0,1,0,0,0
1776341845.9677,70.9606,0.0086,226,0,1,0,0,0
1776341846.4075,71.6838,0.0072,228,0,1,0,0,0
1776341846.7581,72.3491,0.0060,230,0,1,0,0,0
1776341847.2016,72.9612,0.0049,232,0,1,0,0,0
1776341847.5866,73.5243,0.0040,234,0,1,0,0,0
1776341847.9128,74.0423,0.0033,236,0,1,0,0,0
1776341848.2600,74.5189,0.0027,237,0,1,0,0,0
1776341848.5906,74.9574,0.0021,238,0,1,0,0,0
1776341848.9472,75.3608,0.0017,240,0,1,0,0,0
1776341849.3228,75.7320,0.0013,241,0,1,0,0,0
1776341849.6488,76.0734,0.0009,242,0,1,0,0,0
1776341849.9759,76.3875,0.0007,243,0,1,0,0,0
1776341850.3509,76.6765,0.0004,244,0,1,0,0,0
1776341850.6988,76.9424,0.0002,245,0,1,0,0,0
1776341851.0246,77.1870,0.0000,246,0,1,0,0,0
1776341851.3847,77.4121,-0.0001,246,0,1,0,0,0
1776341851.7352,77.6191,-0.0002,247,0,1,0,0,0
1776341852.0630,77.8096,-0.0003,248,0,1,0,0,0
1776341852.4259,77.9848,-0.0004,248,0,1,0,0,0
1776341852.7682,78.1460,-0.0005,249,0,1,0,0,0
1776341853.1000,78.2943,-0.0006,249,0,1,0,0,0
1776341853.4621,78.4308,-0.0006,249,0,1,0,0,0
1776341853.8038,78.5563,-0.0007,250,0,1,0,0,0
1776341854.1452,78.6718,-0.0007,250,0,1,0,0,0
1776341854.5744,78.7781,-0.0007,251,0,1,0,0,0
1776341854.9310,76.7781,0.0442,244,0,1,0,0,0
1776341855.2945,77.0358,0.0375,245,0,1,0,0,0
1776341855.6419,77.2730,0.0317,246,0,1,0,0,0
1776341855.9674,77.4911,0.0268,247,0,1,0,0,0
1776341856.3292,77.6918,0.0226,247,0,1,0,0,0
1776341856.6882,77.8765,0.0191,248,0,1,0,0,0
1776341857.0166,78.0464,0.0161,248,0,1,0,0,0
1776341857.3745,76.0464,0.0585,242,14,1,0,0,1
1776341857.7244,74.0464,0.0946,236,24,1,0,0,1
